year,country,ka_open,cblackmarketexchangerates,acreditmarketregulation,BankAssets_CBShare,FD,Portfolioequityassets,Currentaccountbalance,Capitalaccount,cbie_index,GDPconstant2015US
2010,Korea,0.5967332,10.0,9.3333333,98.73,0.815624,81930.1,27950.5,-63.2,0.6795,1261000000000.0
2011,Korea,0.6565651,10.0,9.3333333,98.8,0.8317184,71663.2,16638.2,-112.0,0.6795,1308000000000.0
2012,Korea,0.716397,10.0,9.3333333,98.43,0.8528287,99121.1,48790.6,-41.7,0.6795,1339000000000.0
2013,Korea,0.716397,10.0,9.3333333,99.0,0.8505881,123774.8,77258.9,-27.0,0.6795,1382000000000.0
2014,Korea,0.716397,10.0,9.3333333,98.97,0.8406811,142406.7,83029.6,-8.9,0.6795,1426000000000.0
2015,Korea,0.716397,10.0,9.3163333,99.17,0.8406157,154506.2,105118.6,-60.2,0.6795,1466000000000.0
2016,Korea,1.0,10.0,9.3165755,99.31,0.8451551,176987.6,97923.7,-46.2,0.6795,1509000000000.0
2017,Korea,1.0,10.0,9.3333333,99.32,0.8360822,250617.9,75230.9,-26.8,0.6795,1557000000000.0
2018,Korea,1.0,10.0,9.3333333,99.31,0.812937,260938.8,77466.5,316.7,0.6795,1602000000000.0
2019,Korea,1.0,10.0,9.3333333,99.36,0.830229,347250.8,59676.1,-169.3,0.6795,1638000000000.0
2020,Korea,1.0,10.0,9.130367,99.09,0.8372172,463313.5,75902.2,-386.3,0.6795,1627000000000.0
2021,Korea,1.0,10.0,9.3050919,99.09,0.8181222,592046.3,85228.2,-155.3,0.6795,1697000000000.0
1996,Lithuania,0.9401681,10.0,4.4880575,99.72,0.0973448,2.615,-722.61,5.5,0.8795,18840000000.0
1997,Lithuania,1.0,10.0,4.5366755,99.58,0.1381201,2.925,-981.3375,4.115,0.8795,20400000000.0
1998,Lithuania,1.0,10.0,4.5852936,99.82,0.1446137,2.8875,-1298.2125,-1.65,0.8795,21930000000.0
1999,Lithuania,1.0,10.0,4.6339116,99.6,0.1580843,5.885,-1194.08,-3.29,0.8795,21680000000.0
2000,Lithuania,1.0,10.0,4.6825296,99.85,0.1527355,5.975,-674.8975,2.1475,0.8795,22480000000.0
2001,Lithuania,1.0,10.0,5.8189309,99.86,0.1512106,4.925,-573.575,1.4,0.8795,23950000000.0
2002,Lithuania,1.0,10.0,7.9975465,99.87,0.1808896,10.539349,-720.69599,56.483038,0.8795,25560000000.0
2003,Lithuania,1.0,10.0,8.3848641,99.91,0.2082808,11.802614,-1278.3529,67.530739,0.8795,28260000000.0
2004,Lithuania,1.0,10.0,8.0039809,99.91,0.2377651,50.179764,-1769.5936,162.84209,0.8735,30120000000.0
2005,Lithuania,1.0,10.0,9.7024859,99.95,0.261133,226.85631,-1915.4122,249.99103,0.8735,32450000000.0
2006,Lithuania,1.0,10.0,9.9315921,99.97,0.2802359,589.43652,-3217.5549,454.51513,0.8735,34860000000.0
2007,Lithuania,1.0,10.0,9.2003379,99.98,0.3096891,1133.2962,-6096.3602,856.57495,0.8735,38730000000.0
2008,Lithuania,0.9401681,10.0,7.1116097,99.97,0.2915647,828.93827,-6498.6199,879.98805,0.8735,39740000000.0
2009,Lithuania,0.88033615,10.0,6.8891382,99.97,0.2727727,1279.378035,-3213.045447,1145.993725,0.8735,37070000000.0
2010,Lithuania,0.8205042,10.0,6.6666667,99.97,0.2539807,1729.8178,72.529006,1411.9994,0.8735,34400000000.0
2011,Lithuania,0.7606722,10.0,6.6666667,99.56,0.2318618,1580.6282,-1592.2454,1471.7708,0.861,36480000000.0
2012,Lithuania,0.7008403,10.0,7.9442417,99.53,0.2257386,1841.9616,-686.27065,1274.3853,0.861,37880000000.0
2013,Lithuania,0.7008403,10.0,9.6377713,99.68,0.21955,2106.2856,790.62249,1494.2651,0.861,39230000000.0
2014,Lithuania,0.7008403,10.0,9.8593333,99.67,0.2146655,2249.1931,1652.6692,1307.0489,0.861,40610000000.0
2015,Lithuania,0.7606722,10.0,9.859,95.37,0.213312,2860.0149,-1014.07,1268.0625,0.912,41440000000.0
