year,country,rpp_value,cgdp_value,cr_value,spr_value,rpp_value_trend,rpp_value_cycle,rpp_value_cycle_normalized,cgdp_value_trend,cgdp_value_cycle,cgdp_value_cycle_normalized,cr_value_trend,cr_value_cycle,cr_value_cycle_normalized,spr_value_trend,spr_value_cycle,spr_value_cycle_normalized,pca_weighted_mean,turning_point,value
1973,Netherlands,39.2056,92.3,13.999665,36.873033,33.9918141858139,5.213785814186096,1.3777670121884762,101.63209432649505,-9.332094326495053,1.223170410547927,6.877098988384259,7.122566011615741,0.6698487293928034,27.837085974460095,9.035947025539905,0.3728668531254646,1.2821261405678224,,0.0
1974,Netherlands,42.5834,98.0,15.387435,29.137548,35.555767301385615,7.027632698614383,1.8570844394073875,106.89944417909444,-8.899444179094445,1.1664623619679702,9.307598605083582,6.079836394916418,0.5717841965113679,30.26854968258072,-1.1310016825807203,-0.04667059657073201,1.5757632238613466,,0.0
1975,Netherlands,45.1529,99.9,15.664285,31.557279,37.119810181120776,8.033089818879226,2.12278113310388,112.16653385653063,-12.266533856530629,1.607791426914117,11.738325296492079,3.925959703507921,0.36922074358501633,32.700543927429194,-1.1432649274291933,-0.04717663733246213,1.8540276831408142,,0.0
1976,Netherlands,55.5064,105.7,17.446656,25.96811,38.68399869976408,16.822401300235917,4.445397337611903,117.43323355234755,-11.733233552347542,1.5378910241544765,14.169379113053942,3.2772768869460585,0.3082147297770322,35.13326000493542,-9.165150004935423,-0.3781983926094251,3.3719016692668102,,0.0
1977,Netherlands,68.9423,117.3,19.852959,23.886639,40.24840881478476,28.693891185215243,7.5824934385968215,122.69938279375447,-5.399382793754469,0.7077045127792375,16.600869920112622,3.2520890798873765,0.305845917676599,37.566886352866995,-13.680247352866996,-0.5645131347078367,5.237425034157948,peak,5.237425034157948
1978,Netherlands,66.8118,132.5,23.265727,24.417661,41.8131585396553,24.998641460344707,6.606006610374489,127.96479177487683,4.535208225123171,-0.5944359660933379,19.03291577620379,4.232811223796208,0.3980788967621368,40.001588496116504,-15.583927496116505,-0.6430681796150932,4.254276530557296,,0.0
1979,Netherlands,60.0249,144.5,25.824588,21.16744,43.37843762257615,16.646462377423852,4.398904663641504,133.2292571913831,11.270742808616887,-1.4772717276609197,21.465642870085816,4.358945129914183,0.4099412840827578,42.43749775895815,-21.270057758958153,-0.8777054004370639,2.55648523598179,,0.0
1980,Netherlands,51.1351,149.6,26.904535,20.674175,44.94449830835143,6.190601691648574,1.6358951250250091,138.49258707696234,11.107412923037657,-1.455863855407476,23.899187972545135,3.0053470274548637,0.28264081855359385,44.874706505847406,-24.200531505847405,-0.9986309128466606,0.7171761417335658,,0.0
1981,Netherlands,41.1545,151.4,26.739761,19.108501,46.5116344579412,-5.3571344579412,-1.4156475542065934,143.75461764216058,7.6453823578394235,-1.0020907580074365,26.333698751731006,0.40606224826899506,0.03818852371656274,47.31325392609535,-28.20475292609535,-1.1638644446464135,-1.2090691384369616,,0.0
1982,Netherlands,37.406,150.8,26.175884,21.377588,48.080155408809745,-10.674155408809746,-2.820694928667115,149.0152128660562,1.7847871339438086,-0.23393449905115077,28.769330389160256,-2.593446389160256,-0.24390321770191178,49.75311870768428,-28.37553070768428,-1.1709115614372523,-1.9606785634217379,,0.0
